iter	Passed	Remaining
0	1	108
1	2	125
2	3	101
3	3	86
4	4	79
5	4	77
6	6	80
7	6	78
8	7	74
9	7	71
10	8	69
11	9	68
12	9	66
13	10	64
14	11	62
15	11	61
16	12	61
17	13	60
18	14	60
19	15	60
20	15	59
21	17	61
22	18	60
23	19	60
24	19	59
25	20	57
26	20	56
27	21	55
28	22	53
29	22	53
30	23	52
31	24	51
32	25	50
33	25	49
34	26	48
35	26	47
36	27	46
37	28	46
38	29	45
39	29	44
40	30	43
41	32	44
42	33	44
43	41	53
44	43	53
45	44	51
46	45	50
47	45	49
48	46	48
49	48	48
50	49	47
51	49	45
52	50	44
53	51	43
54	51	42
55	52	41
56	52	39
57	53	38
58	54	37
59	54	36
60	55	35
61	56	34
62	57	33
63	57	32
64	58	31
65	59	30
66	59	29
67	60	28
68	61	27
69	61	26
70	63	25
71	64	24
72	64	24
73	65	23
74	66	22
75	66	21
76	67	20
77	68	19
78	68	18
79	69	17
80	70	16
81	71	15
82	72	14
83	72	13
84	73	13
85	74	12
86	74	11
87	75	10
88	76	9
89	76	8
90	78	7
91	79	6
92	79	6
93	80	5
94	81	4
95	81	3
96	82	2
97	83	1
98	83	0
99	84	0
