iter	Passed	Remaining
0	136	136265
1	138	68917
2	139	46518
3	141	35346
4	144	28722
5	146	24312
6	148	21129
7	150	18691
8	152	16791
9	154	15251
10	155	14014
11	157	12997
12	161	12287
13	163	11512
14	164	10834
15	166	10233
16	167	9692
17	168	9214
18	170	8788
19	171	8414
20	173	8110
21	175	7787
22	176	7487
23	177	7224
24	178	6969
25	179	6731
26	180	6509
27	181	6304
28	182	6114
29	183	5936
30	184	5775
31	185	5618
32	186	5467
33	187	5330
34	188	5210
35	189	5081
36	190	4961
37	191	4847
38	192	4738
39	193	4634
40	193	4533
41	194	4437
42	195	4344
43	195	4255
44	196	4169
45	197	4087
46	198	4017
47	198	3942
48	199	3869
49	199	3798
50	200	3733
51	201	3669
52	202	3616
53	203	3561
54	203	3504
55	204	3449
56	205	3396
57	205	3343
58	206	3292
59	206	3242
60	207	3194
61	208	3147
62	208	3101
63	209	3059
64	209	3016
65	210	2975
66	210	2934
67	211	2896
68	211	2860
69	212	2824
70	213	2788
71	213	2753
72	214	2719
73	214	2687
74	215	2654
75	215	2623
76	216	2594
77	217	2576
78	218	2547
79	219	2519
80	219	2491
81	220	2463
82	220	2434
83	221	2410
84	221	2385
85	222	2361
86	222	2338
87	223	2315
88	223	2292
89	224	2271
90	225	2250
91	225	2228
92	226	2207
93	226	2186
94	227	2166
95	228	2147
96	228	2127
97	229	2108
98	229	2090
99	230	2073
100	230	2055
101	231	2037
102	232	2028
103	233	2011
104	233	1994
105	234	1977
106	235	1961
107	235	1945
108	236	1931
109	236	1915
110	237	1900
111	237	1885
112	238	1871
113	239	1859
114	239	1845
115	240	1830
116	240	1816
117	241	1803
118	241	1789
119	242	1776
120	242	1764
121	243	1750
122	243	1738
123	244	1725
124	244	1713
125	245	1702
126	245	1689
127	246	1678
128	247	1668
129	248	1661
130	248	1650
131	249	1640
132	249	1629
133	250	1618
134	250	1608
135	251	1597
136	252	1587
137	252	1577
138	253	1567
139	253	1558
140	254	1549
141	254	1539
142	255	1529
143	255	1520
144	256	1510
145	256	1502
146	257	1493
147	257	1485
148	258	1476
149	259	1467
150	259	1459
151	260	1451
152	260	1443
153	261	1435
154	262	1428
155	263	1425
156	263	1417
157	264	1409
158	264	1401
159	265	1393
160	265	1384
161	266	1377
162	267	1371
163	268	1366
164	268	1359
165	269	1352
166	269	1345
167	270	1338
168	270	1331
169	271	1325
170	271	1318
171	272	1312
172	273	1305
173	273	1299
174	274	1292
175	274	1286
176	275	1280
177	275	1274
178	276	1268
179	278	1266
180	278	1260
181	279	1254
182	279	1248
183	280	1242
184	281	1239
185	281	1233
186	282	1228
187	283	1222
188	283	1217
189	284	1213
190	285	1208
191	285	1202
192	286	1197
193	287	1192
194	287	1188
195	288	1183
196	288	1177
197	289	1173
198	290	1168
199	291	1164
200	291	1159
201	292	1155
202	293	1153
203	294	1149
204	295	1146
205	297	1144
206	298	1142
207	298	1137
208	299	1134
209	300	1130
210	301	1127
211	302	1123
212	303	1120
213	304	1119
214	305	1114
215	305	1109
216	306	1105
217	306	1100
218	307	1096
219	308	1094
220	310	1093
221	310	1088
222	311	1085
223	311	1080
224	312	1076
225	313	1072
226	313	1068
227	314	1065
228	315	1061
229	315	1057
230	316	1053
231	317	1050
232	317	1046
233	318	1042
234	319	1038
235	319	1034
236	320	1030
237	320	1027
238	321	1023
239	321	1019
240	323	1020
241	324	1017
242	325	1014
243	326	1010
244	326	1006
245	327	1003
246	328	1000
247	328	996
248	329	992
249	329	989
250	330	986
251	331	982
252	331	979
253	332	975
254	332	972
255	333	968
256	333	965
257	334	962
258	335	959
259	336	956
260	337	954
261	338	953
262	339	951
263	339	947
264	340	944
265	341	942
266	341	938
267	342	935
268	343	932
269	343	929
270	344	926
271	345	923
272	345	920
273	346	917
274	346	913
275	347	910
276	348	909
277	348	906
278	349	903
279	350	900
280	350	897
281	351	895
282	352	892
283	353	890
284	354	889
285	355	886
286	355	883
287	356	881
288	357	878
289	357	875
290	358	872
291	358	870
292	359	867
293	359	864
294	360	861
295	361	858
296	361	856
297	362	853
298	363	851
299	363	848
300	364	846
301	364	843
302	365	840
303	366	838
304	366	835
305	367	832
306	368	832
307	369	830
308	370	828
309	371	826
310	371	823
311	372	820
312	372	818
313	373	815
314	373	813
315	374	810
316	375	808
317	375	806
318	376	803
319	377	801
320	377	798
321	378	796
322	378	793
323	379	791
324	379	789
325	380	786
326	381	785
327	382	782
328	384	783
329	384	781
330	385	779
331	386	777
332	386	774
333	387	773
334	388	770
335	388	768
336	389	766
337	390	764
338	390	762
339	391	759
340	391	757
341	392	754
342	393	752
343	393	750
344	394	749
345	395	746
346	395	744
347	396	742
348	397	740
349	397	738
350	398	737
351	399	735
352	400	733
353	400	731
354	401	729
355	402	727
356	403	725
357	403	723
358	404	721
359	404	719
360	405	717
361	405	715
362	406	713
363	406	710
364	407	709
365	408	707
366	409	706
367	410	704
368	410	702
369	411	700
370	411	698
371	412	696
372	413	695
373	414	693
374	415	692
375	415	690
376	416	688
377	417	686
378	417	684
379	418	682
380	418	680
381	419	678
382	419	676
383	420	674
384	421	673
385	421	671
386	422	669
387	423	667
388	424	666
389	425	665
390	425	663
391	426	661
392	426	659
393	427	658
394	429	658
395	430	656
396	431	654
397	431	652
398	432	650
399	432	648
400	433	647
401	434	645
402	434	643
403	435	642
404	436	640
405	436	638
406	437	637
407	437	635
408	438	633
409	439	631
410	439	630
411	440	628
412	441	626
413	441	624
414	442	623
415	444	623
416	444	622
417	445	620
418	446	618
419	446	616
420	447	615
421	448	613
422	448	612
423	449	610
424	450	608
425	450	607
426	451	605
427	451	603
428	452	602
429	453	600
430	453	598
431	454	597
432	455	595
433	455	594
434	456	593
